Timestamp,Raw Accel X,Raw Accel Y,Raw Accel Z,Raw Gyro X,Raw Gyro Y,Raw Gyro Z
0,-230,1029,2490,4590,4068,3928
1,-85,-660,1801,3184,1821,5343
2,-477,629,2300,4739,6384,2437
3,448,1604,2492,3693,4448,4628
4,-399,-1620,1305,3303,3757,5507
5,-514,-1340,1028,2078,5607,3294
6,139,2312,4015,5000,5179,3250
7,878,1494,761,4377,3037,4422
8,-678,-2223,1640,3258,3472,5690
9,-517,-148,4294,2474,6472,4276
10,-42,-1239,1943,2031,7452,4692
11,936,-17,-951,3992,2588,4705
12,18,325,1054,3844,3240,3834
13,66,480,2034,2889,4277,3936
14,611,747,843,4131,3305,3887
15,-137,134,1728,3169,4985,3629
16,-352,-1686,1488,3383,3032,4478
17,-508,-1483,1222,3359,3915,3734
18,-114,163,2284,3019,4552,3042
19,-105,143,2087,2865,3712,3789
20,-157,-231,2245,3150,3587,3719
21,-52,139,1703,3213,3680,3334
22,-66,257,2142,3011,3679,3530
23,-209,2,2045,3006,3631,3410
24,-231,90,1684,3145,3370,3346
25,-178,67,1813,2784,3625,3504
26,254,-243,1895,2891,3526,3480
27,3,-95,1910,2939,3511,3383
28,86,104,2052,2840,3523,3226
29,16,-228,1856,2805,3493,3262
30,-245,-6,1817,2764,3472,3289
31,-9,184,1959,2769,3421,3328
32,188,-204,1954,2806,3279,3179
33,-141,-133,2192,2652,3563,3105
34,215,-16,1658,2319,2983,3065
35,-251,-137,2160,2678,3218,3015
36,12,46,2263,2796,3221,2986
37,-21,-28,1810,2557,3213,2967
38,-66,42,1821,2533,3116,2953
39,-48,-124,2170,2666,3088,2875
40,-18,-55,1954,2557,2972,2964
41,-93,-59,1944,2527,3016,2867
42,-99,-14,2068,2443,3001,2826
43,183,-208,2093,2383,3001,2866
44,23,-31,2027,2218,2963,2744
45,-84,-71,1917,2508,2758,2766
46,-26,-46,2297,2318,2890,2712
47,209,-229,2064,2228,3033,2692
48,223,-244,2028,2230,2832,2540
49,-14,-55,2154,2323,2770,2669
50,213,-106,1796,2275,2768,2595
51,246,-53,2222,2307,2653,2596
52,-56,-65,2160,2179,2648,2799
53,-87,-3,1950,2209,2670,2421
54,-244,60,1805,2045,2501,2490
55,-100,-115,1993,2186,2524,2460
56,-1,234,2297,2146,2493,2440
57,33,-35,1995,2061,2502,2375
58,-226,14,2180,1635,2779,2127
59,-44,-53,2044,2010,2487,2365
60,-15,-45,1993,2046,2397,2300
61,-120,-67,1827,2064,2370,2291
62,-166,-61,2189,2005,2366,2268
63,-45,-52,2050,1891,2377,2263
64,-68,-181,1977,1997,2165,2210
65,-50,-92,2283,1893,2325,2162
66,-6,-80,1801,1880,2315,2186
67,-57,-90,2290,1818,2281,2146
68,-79,-70,2094,1858,2212,2117
69,-12,-115,2236,1805,2182,2037
70,-211,-19,2008,1770,2129,2054
71,-190,-114,1917,1691,2174,2050
72,-223,234,2287,1921,2022,2158
73,-44,-37,1925,1694,2150,1925
74,-89,-133,2021,1645,2100,1986
75,-117,-119,2100,1772,2036,1969
76,-94,-196,2104,1585,2094,1952
77,241,-88,2082,1629,2020,1920
78,-58,-121,2037,1621,1928,1932
79,248,-46,1841,1628,2033,1867
80,178,-149,1992,1587,1907,1881
81,-69,-221,2019,1703,1902,1894
82,49,-118,2011,1299,1915,1706
83,2,-165,2144,1544,1908,1806
84,-215,-125,1844,1748,2147,1873
85,85,-179,2043,1347,1904,1743
86,-223,-11,1894,1451,1728,1747
87,229,-244,2206,1704,1903,1658
88,159,-123,2089,1528,1771,1736
89,-34,-230,2116,1384,1853,1655
90,-55,-199,1957,1521,1732,1694
91,-106,-157,2056,1470,1736,1645
92,-99,-80,2127,1388,1684,1628
93,-235,-125,2157,1356,1696,1649
94,-147,-480,1971,1475,1779,1491
95,-156,-106,2548,1382,1460,1550
96,-60,-145,2172,1291,1631,1526
97,-76,-137,1970,1370,1622,1285
98,-71,-84,1996,1310,1676,1525
99,-106,-79,1918,1422,1783,1557